0,1,2,3,4,5,6,7,8
133,11,62,46,7,81,68,17,75
153,13,51,59,16,76,54,11,67
136,13,62,59,5,83,56,8,78
126,17,66,49,4,75,65,19,79
142,12,65,49,10,71,66,13,72
129,18,73,49,11,79,66,15,60
142,17,67,43,7,78,70,10,66
136,22,59,54,10,76,60,14,69
138,11,74,57,7,66,54,9,84
121,13,71,53,8,87,59,15,73
139,18,70,44,4,76,61,12,76
130,13,59,49,5,85,71,13,75
142,18,66,49,5,79,57,17,67
121,18,55,66,19,68,58,14,81
131,11,50,64,7,85,68,11,73
130,22,70,43,11,78,55,20,71
121,12,83,60,7,72,59,11,75
131,13,56,45,3,80,66,15,91
136,18,72,59,13,68,47,12,75
152,16,56,43,7,64,69,12,81
131,20,60,46,11,73,59,14,86
129,24,61,52,7,78,63,14,72
128,15,79,51,6,75,56,10,80
131,16,60,56,9,68,66,14,80
125,16,62,51,7,81,70,12,76
128,9,59,55,9,84,63,11,82
124,18,66,61,12,67,59,15,78
136,18,69,43,11,64,57,21,81
143,26,65,53,12,60,57,9,75
147,15,65,60,8,65,62,7,71
129,18,59,55,12,83,63,12,69
136,20,63,49,5,72,71,12,72
151,18,48,50,7,73,75,12,66
126,14,74,53,10,69,67,6,81
135,12,71,53,7,77,66,10,69
131,19,57,54,15,72,72,13,67
131,13,74,57,8,64,66,13,74
125,15,72,52,10,69,68,13,76
157,8,58,61,9,83,51,9,64
144,20,60,58,9,66,50,15,78
124,23,58,48,6,76,62,14,89
127,10,65,66,12,76,67,10,67
145,12,57,57,7,77,63,13,69
121,12,75,53,13,65,64,13,84
125,18,72,48,15,72,65,10,75
144,16,59,52,10,62,52,13,92
129,12,57,59,15,83,62,10,73
136,11,66,53,12,81,61,12,68
128,14,62,54,7,83,62,15,75
143,17,60,54,3,74,67,14,68
142,24,59,54,8,76,46,13,78
134,17,57,61,9,74,63,19,66
128,19,72,55,7,58,64,10,87
114,12,64,55,13,74,74,11,83
125,18,71,55,4,76,60,11,80
141,18,53,49,14,80,61,9,75
125,11,70,59,8,78,68,15,66
133,17,52,59,10,84,64,13,68
146,8,60,58,6,64,61,16,81
128,23,66,54,10,64,69,12,74
120,10,64,51,11,83,61,17,83
141,22,65,55,4,58,62,11,82
141,8,61,54,13,71,61,9,82
134,16,62,63,15,68,53,11,78
147,20,61,52,8,79,53,12,68
124,22,58,54,14,65,63,14,86
151,19,63,53,10,73,50,7,74
139,9,90,46,10,76,51,12,67
