0,1,2,3,4,5,6,7,8
127,37,170,208,93,136,62,39,128
135,34,168,199,96,142,42,51,133
143,32,158,187,108,125,61,37,149
125,34,158,227,77,148,55,37,139
137,35,155,204,87,150,55,41,136
119,35,159,211,90,141,54,43,148
130,34,166,190,91,134,53,40,162
113,41,152,199,84,155,66,45,145
137,36,160,196,99,129,68,38,137
145,46,150,188,98,129,53,42,149
122,40,150,213,98,143,60,46,128
120,35,171,210,78,147,54,54,131
116,33,172,203,90,135,51,45,155
119,38,161,218,91,133,48,47,145
134,39,162,197,80,149,49,44,146
143,40,159,200,82,143,67,38,128
119,39,161,210,83,124,56,56,152
144,27,170,191,83,133,59,44,149
92,37,157,223,103,143,61,45,139
119,33,178,197,87,134,60,45,147
138,33,165,235,83,122,49,43,132
147,33,159,210,87,135,47,38,144
145,38,162,178,90,138,77,49,123
122,37,155,205,95,140,58,46,142
121,34,156,234,93,125,62,43,132
114,39,167,200,90,138,62,41,149
119,35,139,212,91,149,60,53,142
124,37,174,180,83,148,54,43,157
117,40,151,211,75,137,67,40,162
120,40,151,185,95,157,54,39,159
149,37,140,179,91,131,69,59,145
131,31,167,196,85,143,75,47,125
151,42,135,184,96,144,56,41,151
123,35,158,218,93,122,50,33,168
145,25,164,205,84,135,56,47,139
116,42,168,221,111,126,67,44,105
139,40,147,205,98,140,53,52,126
147,35,149,191,79,144,68,36,151
127,32,167,217,82,128,58,45,144
123,31,156,207,88,147,61,38,149
137,36,167,224,71,138,67,35,125
116,43,155,234,84,144,54,42,128
110,42,180,224,82,114,58,47,143
130,43,156,205,88,134,53,46,145
124,52,146,189,81,134,72,43,159
140,37,149,218,95,126,57,50,128
128,41,148,225,79,135,52,41,151
135,41,173,195,84,135,47,38,152
123,49,152,186,100,146,50,52,142
127,37,144,222,100,139,60,42,129
113,40,152,210,91,153,59,57,125
120,46,162,184,102,154,50,49,133
139,47,165,185,91,156,49,42,126
116,45,157,188,102,137,64,54,137
130,34,182,200,86,118,60,44,146
124,34,157,199,104,139,48,55,140
129,29,167,176,88,148,61,49,153
127,41,172,196,88,121,60,50,145
144,24,165,227,95,138,51,30,126
123,43,161,175,96,138,55,47,162
122,34,188,189,82,137,60,50,138
143,28,156,203,100,132,35,48,155
125,34,170,214,91,128,57,39,142
123,33,172,221,86,129,51,37,148
126,45,164,196,94,147,62,45,121
141,42,143,214,81,144,52,39,144
127,35,152,207,89,135,48,45,162
114,43,165,192,77,135,63,49,162
130,36,173,205,83,132,63,31,147
140,37,171,191,92,128,46,43,152
112,45,157,220,88,133,40,47,158
114,53,161,201,92,137,55,51,136
117,27,172,214,78,142,70,40,140
123,32,148,205,83,148,59,59,143
132,41,164,185,105,136,49,49,139
124,49,151,201,91,129,54,47,154
126,36,155,215,88,140,55,60,125
134,34,178,203,84,117,57,58,135
112,37,166,201,98,145,64,48,129
126,35,163,184,88,137,61,46,160
99,41,168,223,95,146,59,40,129
144,35,150,206,107,128,59,44,127
139,35,163,193,96,137,65,46,126
130,29,153,211,97,120,58,54,148
122,47,155,200,86,141,56,39,154
129,39,169,212,78,125,52,52,144
129,33,168,197,93,129,74,49,128
118,44,149,198,91,136,61,46,157
106,34,181,210,102,126,52,41,148
136,38,135,225,107,131,49,41,138
129,41,153,209,86,152,43,52,135
132,40,173,197,77,138,56,52,135
137,33,177,184,84,125,54,54,152
115,54,176,198,75,117,55,60,150
125,41,154,211,88,151,63,38,129
121,37,174,223,77,130,52,46,140
122,42,178,192,99,128,49,37,153
125,36,170,184,72,152,69,43,149
119,47,170,198,85,143,63,63,112
119,45,162,198,88,133,63,53,139
125,40,157,176,80,161,72,43,146
122,27,166,241,97,110,53,37,147
120,41,162,189,98,133,53,53,151
116,35,162,216,91,135,64,35,146
119,38,150,212,90,157,58,48,128
124,35,178,201,90,140,47,31,154
131,41,159,189,101,130,52,47,150
115,39,160,198,84,137,55,42,170
113,39,172,201,99,145,48,44,139
127,33,146,221,97,135,48,50,143
118,34,153,225,96,108,61,41,164
124,31,167,195,92,154,55,44,138
147,41,152,204,104,136,58,37,121
127,39,185,206,82,131,55,32,143
122,36,173,212,97,120,55,46,139
142,38,143,197,98,142,47,49,144
132,34,163,223,89,142,55,40,122
137,41,176,185,77,137,51,37,159
116,52,162,205,73,151,63,46,132
145,45,141,212,80,143,68,40,126
119,37,163,222,83,123,59,50,144
